ID_CC,Nombre,Capacidad,ID_DEPTO
964,"""Centro Cultural Voces Comunitarias Com Caia""",s/d,250.0
473,46 Multiespacio Cultural,s/d,257.0
242,921 Casa Cultural,50.0,112.0
408,"ALMA, Espacio de Arte",s/d,150.0
101,"ANDUMA, ESPACIO CULTURAL",s/d,112.0
175,ARQUEOTERRA ,s/d,112.0
758,Actitud Pandora,s/d,149.0
1044,Acuarelas del sur,s/d,82.0
607,Alas de Tigre,s/d,475.0
9,Alcarajo Centro Cultural,s/d,112.0
781,Alianza Francesa,s/d,495.0
649,Almazenna Teatro Casa de Culturas ,70.0,76.0
247,Alter Ego,90.0,112.0
251,Amarama Patio Cultural,s/d,112.0
210,Ame Triglav,s/d,112.0
952,Amigos del Arte - Centro de Cultura,180.0,90.0
415,América Libre,200.0,199.0
207,Area 623,s/d,112.0
860,Arpillera Centro Cultural,60.0,123.0
250,Arte Xxi,100.0,112.0
304,Arte en Movimiento,s/d,22.0
871,ArteFactum. Nodo de Arte y Experimentación,s/d,260.0
854,ArteRoga. Multiespacio Cultural.,s/d,228.0
578,Artenpie,s/d,370.0
211,Asoc. Civil La Bombocova,s/d,112.0
135,Asociacion Calabresa Mutual Y Cultural,s/d,112.0
925,Asociacion Civil Amigos de Merlo,s/d,246.0
38,Asociacion Civil Centro Cultural Deodoro Roca,20.0,112.0
997,Asociacion Civil Jóvenes Por Rosario,s/d,397.0
941,Asociacion Cultural Discepolin,s/d,221.0
266,Asociacion Ucrania De Cultura Provista En La Republica Argentina,150.0,112.0
574,Asociación Civil Amigos de “El Viaje de los Títeres”,s/d,370.0
623,Asociación Civil Centro Cultural Tiempos de Memoria,s/d,503.0
852,Asociación Civil El Centenario Educación para el Desarrollo de Eldorado,80.0,146.0
991,Asociación Civil Facultad Libre,s/d,397.0
624,Asociación Civil La Rueda Educación Popular,s/d,503.0
455,Asociación Cultural Daniel Omar Favero,s/d,257.0
314,Asociación Cultural y Folklórica Martín Fierro ,s/d,37.0
883,Asociación Grupo Cre-Arte,s/d,47.0
724,Asociación Italiana de Socorros Mutuos Giusseppe Mazzini,378.0,474.0
611,Asociación cultural Arte y Vida,s/d,487.0
610,Asociación de Fomento Martín Coronado,s/d,487.0
588,Ateneo Cultural Nestor Kirchner,s/d,421.0
56,Auditorio ATE Capital,s/d,112.0
148,Auditorio CTA Capital,s/d,112.0
427,Auditorio Hugo del Carril,s/d,203.0
881,Avivarte Centro Cultural Comunitario,s/d,47.0
86,Azucar De Artes Y Danzas Argentinas Afro Y Centroamericanas,800.0,112.0
342,Azucena Villaflor,s/d,37.0
1016,A´Ki Sala Cultural,s/d,397.0
646,BRUJA MULTIESPACIO,s/d,360.0
315,Barracas al Sud,s/d,37.0
181,Batacazo Cultural,50.0,112.0
96,Beethoven Cafe Bar,50.0,112.0
659,"Bendita, Arte y Sanación",s/d,76.0
36,Besares Club De Cultura,145.0,112.0
1008,Bohemia bar cultural,190.0,397.0
44,Bolivar 852,120.0,112.0
184,Bonus Truck,s/d,112.0
682,Buena Vista,s/d,115.0
1027,Buenas Raíces Club Cultural,150.0,428.0
111,Buenos Aires Dance Club,150.0,112.0
905,C.I.Arte,s/d,181.0
908,CABILDO DEL DUENDE AMIGO,s/d,399.0
738,CAMALOTE CENTRO CULTURAL ,s/d,419.0
54,CAMARGO 1020 ESPACIO DE ARTE,s/d,112.0
630,CASA DE LA CULTURA HILARIO ASCASUBI,s/d,507.0
78,CASA DE LA CULTURA LOS COMPADRES DEL HORIZONTE,s/d,112.0
439,CASA DE LA CULTURA PENSAR JUNIN,s/d,245.0
74,CECAM - Centro Cultural de las Artes del Movimiento,s/d,112.0
826,"CENTRO CULTURAL ""HOMBRITO ESTANZUELA""",s/d,210.0
769,CENTRO CULTURAL ALAS,s/d,215.0
35,CENTRO CULTURAL ASOCIACIÓN MUTUAL HOMERO MANZI,s/d,112.0
999,CENTRO CULTURAL GUEMES,659.0,397.0
706,CENTRO CULTURAL KAIKEN ,s/d,366.0
512,CENTRO CULTURAL MACÁ,s/d,257.0
806,CENTRO CULTURAL TARINAKUY,s/d,476.0
76,CENTRO DE DESARROLLO DEL TANGO Y LA CULTURA RIOPLATENSE,s/d,112.0
604,CENTRO SOCIAL Y CULTURAL LA VÍA,s/d,469.0
481,CIPAE,s/d,257.0
460,CIUDAD DE GATOS,s/d,257.0
975,CLUB ATLÉTICO VILLA DORA,420.0,517.0
1002,COMPLEJO CULTURAL ATLAS,s/d,397.0
526,CUATRO XXI,120.0,286.0
936,Cacho Camino,s/d,139.0
185,Cacuca,s/d,112.0
