ID_DEPTO,Departamento,ID_PROV
1,12 De Octubre,22
2,1º De Mayo,22
3,2 De Abril,22
4,25 De Mayo,70
5,25 De Mayo,62
6,25 De Mayo,22
7,25 De Mayo,6
8,25 De Mayo,54
9,9 De Julio,70
10,9 De Julio,22
11,9 De Julio,62
12,9 De Julio,6
13,9 De Julio,82
14,Adolfo Alsina,62
15,Adolfo Alsina,6
16,Adolfo Gonzales Chaves,6
17,Aguirre,86
18,Albardon,70
19,Alberdi,86
20,Alberti,6
21,Almirante Brown,22
22,Almirante Brown,6
23,Alumine,58
24,Ambato,10
25,Ancasti,10
26,Andalgala,10
27,Anelo,58
28,Angaco,70
29,Angel Vicente Penaloza,46
30,Anta,66
31,Antofagasta De La Sierra,10
32,Apostoles,54
33,Arauco,46
34,Arrecifes,6
35,Atamisqui,86
36,Atreuco,42
37,Avellaneda,6
38,Avellaneda,86
39,Avellaneda,62
40,Ayacucho,74
41,Ayacucho,6
42,Azul,6
43,Bahia Blanca,6
44,Balcarce,6
45,Banda,86
46,Baradero,6
47,Bariloche,62
48,Belen,10
49,Belgrano,74
50,Belgrano,82
51,Belgrano,86
52,Bella Vista,18
53,Benito Juarez,6
54,Berazategui,6
55,Berisso,6
56,Bermejo,22
57,Bermejo,34
58,Beron De Astrada,18
59,Biedma,26
60,Bolivar,6
61,Bragado,6
62,Brandsen,6
63,Burruyacu,90
64,Cachi,66
65,Cafayate,66
66,Cainguas,54
67,Calamuchita,14
68,Caleu Caleu,42
69,Calingasta,70
70,Campana,6
71,Candelaria,54
72,Canuelas,6
73,Capayan,10
74,Capital,66
75,Capital,10
76,Capital,14
77,Capital,54
78,Capital,18
79,Capital,50
80,Capital,90
81,Capital,42
82,Capital,86
83,Capital,46
84,Capital,70
85,Capitan Sarmiento,6
86,Carlos Casares,6
87,Carlos Tejedor,6
88,Carmen De Areco,6
89,Caseros,82
90,Castellanos,82
91,Castelli,6
92,Castro Barros,46
93,Catan Lil,58
94,Catrilo,42
95,Caucete,70
96,Cerrillos,66
97,Chacabuco,22
98,Chacabuco,6
99,Chacabuco,74
100,Chalileo,42
101,Chamical,46
102,Chapaleufu,42
103,Chascomus,6
104,Chical Co,42
105,Chicligasta,90
106,Chicoana,66
107,Chilecito,46
108,Chimbas,70
109,Chivilcoy,6
110,Chos Malal,58
111,Choya,86
112,Ciudad Autonoma De Buenos Aires,2
113,Cochinoca,38
114,Collon Cura,58
115,Colon,14
116,Colon,30
117,Colon,6
118,Comandante Fernandez,22
119,Concepcion,18
120,Concepcion,54
121,Concordia,30
122,Conesa,62
123,Confluencia,58
124,Conhelo,42
125,Constitucion,82
126,Copo,86
127,Coronel De Marina Leonardo Rosales,6
128,Coronel Dorrego,6
129,Coronel Pringles,6
130,Coronel Pringles,74
131,Coronel Suarez,6
132,Corpen Aike,78
133,Cruz Alta,90
134,Cruz Del Eje,14
135,Curaco,42
136,Curuzu Cuatia,18
137,Cushamen,26
138,Daireaux,6
139,Deseado,78
140,Diamante,30
141,Dolores,6
142,Dr. Manuel Belgrano,38
143,El Alto,10
144,El Carmen,38
145,El Cuy,62
146,Eldorado,54
147,Empedrado,18
148,Ensenada,6
149,Escalante,26
150,Escobar,6
151,Esquina,18
152,Esteban Echeverria,6
153,Exaltacion De La Cruz,6
154,Ezeiza,6
155,Famailla,90
156,Famatina,46
157,Federacion,30
158,Federal,30
159,Feliciano,30
160,Figueroa,86
161,Florencio Varela,6
162,Florentino Ameghino,6
163,Florentino Ameghino,26
164,Formosa,34
165,Fray Justo Santa Maria De Oro,22
166,Fray Mamerto Esquiu,10
167,Futaleufu,26
168,Gaiman,26
169,Garay,82
170,Gastre,26
171,General Alvarado,6
172,General Alvear,50
173,General Alvear,6
174,General Alvear,18
