Cueanexo,Nombre,ID_DEPTO
20002300,JUAN RAMON JIMENEZ,112.0
20002900,INSTITUTO SAN PEDRO,112.0
20003900,PROFESOR CARLOS JUSTO FLORIT,112.0
20004000,RICARDO GUIRALDES,112.0
20004400,JII Nº 01 DE 19,112.0
20007700,NIEVES ESCALADA DE OROMI,112.0
20010200,INSTITUTO CANTO A LA VIDA,112.0
20011400,INSTITUTO MONSEÑOR SABELLI,112.0
20011800,INSTITUTO COMUNIDAD FILII DEI,112.0
20012300,COLEGIO DE LOS NIÑOS,112.0
20012500,AMAPOLA,112.0
20012700,INST.SANTA MARIA DE LUJAN,112.0
20014300,COLEGIO Nº 19 LUIS PASTEUR DE 17,112.0
20015400,DR.GENARO SISTO,112.0
20016500,ANTONIO A. ZINNY,112.0
20017400,ESCUELA RELIGIOSA ISRAELITA ARGENTINA,112.0
20021600,ENRIQUE G. PARKER,112.0
20022003,JIN A DE 12 (ESC. PRIM. Nº 05 DE 12),112.0
20022100,AUSTRALIA,112.0
20025100,NICOLAS RODRIGUEZ PEÑA,112.0
20025300,INST. SAN JUDAS TADEO,112.0
20025600,IFTS N° 21 DE 08,112.0
20027500,JIC N° 03 AMALIA FIGUEREDO DE 21,112.0
20027600,INSTITUTO AMANECER,112.0
20028700,INSTITUTO EUSKAL-ECHEA,112.0
20029600,FRAY MAMERTO ESQUIU,112.0
20033400,ESCUELA PARROQUIAL SANTA ELISA,112.0
20035000,ESC. DE EDUC. MEDIA Nº 01 RODOLFO WALSH DE 16,112.0
20036100,INSTITUTO DE TIEMPO LIBRE Y RECREACION,112.0
20036300,REPUBLICA DE NICARAGUA,112.0
20036600,ESCUELA SUPERIOR DE ENFERMERIA CECILIA GRIERSON,112.0
20038000,TOMAS SANTA COLOMA,112.0
20038600,PROVINCIA DE JUJUY,112.0
20038700,INSTITUTO SANTA MARIA DE LOS ANGELES,112.0
20041400,ESC. DE EDUC. MEDIA Nº 05 HEROES DE MALVINAS DE 10,112.0
20042700,JII N° 02 JUAN M. COGHLAN DE 15,112.0
20043300,GASPAR LUCILO BENAVENTO,112.0
20046700,JIN A DE 10 (ESC. PRIM. Nº 09 DE 10),112.0
20047400,JOSE PEDRO VARELA,112.0
20047700,JIC N° 04 DE 05,112.0
20049100,MAESTRO JORGE LUIS CHINETTI,112.0
20049500,FRANCISCO BEIRO,112.0
