Cueanexo,id_Nivel_Educativo
20000100,3
20000100,2
20000100,1
20000100,4
20000200,3
20000300,3
20000300,2
20000300,1
20000500,1
20000500,4
20000500,2
20000500,3
20000700,4
20000700,1
20000700,2
20000700,3
20000800,3
20000900,3
20001000,3
20001100,3
20001200,3
20001700,3
20001700,1
20001700,2
20001800,3
20002200,3
20002300,3
20002400,3
20002500,3
20002600,6
20002700,2
20002800,2
20002800,1
20002800,3
20002900,2
20002900,3
20002900,1
20003100,4
20003100,1
20003100,2
20003100,3
20003300,2
20003300,3
20003400,2
20003400,3
20003400,1
20003500,2
20003500,1
20003700,2
20003701,2
20003703,2
20003800,3
20003900,3
20004000,3
20004100,3
20004200,3
20004300,3
20004400,2
20004600,3
20004700,3
20004700,2
20004700,1
20004800,3
20004900,3
20004900,2
20005000,3
20005100,3
20005300,3
20005400,3
20005400,2
20005500,2
20005500,1
20005600,3
20005800,4
20005801,4
20005801,3
20006300,3
20006500,2
20006500,3
20007100,3
20007200,3
20007200,1
20007200,2
20007300,3
20007500,2
20007501,2
20007502,2
20007600,2
20007700,3
20007800,4
20007900,4
20008200,2
20008200,3
20008200,1
20008300,4
20008300,1
20008300,2
20008300,3
20008400,2
20008500,3
20008600,3
20008700,3
20008700,1
20008700,2
20008900,3
20009000,3
20009100,4
20009100,1
20009100,3
20009100,2
20009500,2
20009500,4
20009500,3
20009500,1
20009700,1
20009700,2
20009800,2
20009800,4
20009800,3
20009800,1
20009900,3
20009900,2
20009900,1
20010000,4
20010000,3
20010000,2
20010200,3
20010200,1
20010200,2
20010200,4
20010300,3
20010400,3
20010400,2
20011000,3
20011100,3
20011200,3
20011300,3
20011400,3
20011400,2
20011500,3
20011500,1
20011500,2
20011500,4
20011600,4
20011600,2
20011600,3
20011600,6
20011700,2
20011800,1
20011800,4
20011800,2
20011800,3
20012000,3
20012100,3
20012300,4
20012300,1
20012300,3
20012300,2
20012301,4
20012500,3
20012600,3
20012600,2
20012600,1
20012600,4
20012700,4
20012700,1
20012700,3
20012700,2
20012800,3
20012900,4
20012900,5
20013000,3
20013500,3
20013600,3
20013800,4
20013800,2
20013800,3
20013900,3
20014000,3
20014100,3
20014200,3
20014200,1
20014200,2
20014200,4
20014300,4
20014400,2
20014400,1
20014500,4
20014500,6
20014600,3
20014600,2
20015000,2
20015000,1
20015000,3
20015000,4
20015200,4
20015300,3
20015400,3
20015500,2
20015500,1
20015700,2
20015700,3
20015700,1
20015800,2
20015800,1
20015801,2
20015900,4
20016000,3
20016100,3
20016300,4
20016500,3
20016600,3
20016700,3
20016800,2
20016800,3
20016900,3
20017000,1
20017000,2
20017400,3
20017400,2
20017400,4
20017500,6
20017500,7
20017700,2
20017701,2
20017702,2
20017800,3
20017800,4
20017800,2
20017800,1
20018100,3
20018400,3
20018500,3
20018600,3
20018700,2
20018701,2
20018702,2
20018800,2
20018900,3
20019000,1
20019000,4
20019000,2
20019000,3
20019200,4
20019200,5
20019300,3
20019400,3
20019400,2
20019600,3
20019800,3
20019800,1
20019800,2
20019800,4
20019900,4
20019900,2
20019900,3
20020100,2
20020100,4
20020100,3
20020100,1
20020200,3
20020300,3
20020300,4
20020300,2
20020600,3
20020600,2
20020700,3
20020800,3
20020900,4
20020900,1
20020900,2
20020900,3
20021200,2
20021200,1
20021300,3
20021400,3
20021500,3
20021600,3
20021700,2
20021700,4
20021700,3
20021700,1
20021800,3
20021800,1
20021800,2
20021800,4
20021900,3
20022000,1
20022000,2
20022001,2
20022002,2
20022003,2
20022100,3
20022300,1
20022300,4
20022300,2
20022300,3
20022400,2
20022400,1
20022400,3
20022500,3
20022500,2
20023000,3
20023100,4
20023100,2
20023100,3
20023200,6
20023300,6
20023400,3
20023400,2
20023500,4
20023600,3
20023700,3
20023900,2
20023901,2
20024000,7
20024000,6
20024800,3
20024800,4
20024800,2
20024800,1
20024900,2
20024902,2
20024903,2
20025000,3
20025100,3
20025300,4
20025300,3
20025300,2
20025400,3
20025400,2
20025500,2
20025600,6
20025600,7
20026400,3
20026400,4
20026400,2
20026400,1
20026800,3
20027300,6
20027300,7
20027400,2
20027500,2
20027600,2
20027600,4
20027600,3
20027600,1
20027800,2
20027804,2
20027900,3
20028100,3
20028300,6
20028500,4
20028600,4
20028700,4
20028700,1
20028700,2
20028700,3
20028900,3
20029000,2
20029001,2
20029002,2
20029300,2
20029300,3
20029300,4
20029400,2
20029401,2
20029500,4
20029500,2
20029500,3
20029600,3
20029700,3
20029800,3
20029900,5
20029900,4
20030200,3
20030300,3
20030300,2
20030400,3
20030500,3
20030700,2
20030700,4
20030700,3
20030700,1
20030900,2
20030902,2
20031100,3
20031700,4
20031900,3
20032400,3
20032500,3
20032800,3
20032900,3
20033000,3
20033100,1
20033100,2
20033100,3
20033300,3
20033400,2
20033400,3
20033500,1
20033500,3
20033500,2
20033600,2
20033601,2
20033602,2
20034100,3
20034200,1
20034200,2
20034400,2
20034400,1
20034401,2
20034402,2
20034403,2
20034900,3
20035000,4
20035100,3
20035200,3
20035300,2
20035300,1
20035400,1
20035400,4
20035400,2
20035400,3
20035500,2
20035500,3
20035500,1
20035600,6
20035800,3
20036100,6
20036200,3
20036300,3
20036400,4
20036600,7
20036600,6
20036601,7
20036601,6
20036800,3
20036800,2
20036800,1
20037000,3
20037200,7
20037200,6
20037900,2
20037900,1
20038000,3
20038100,2
20038200,2
20038300,4
20038600,3
20038700,4
20038700,1
20038700,3
20038700,2
20039800,2
20039800,3
20039800,1
20039900,3
20040000,3
20040100,4
20040200,4
20040200,3
20040200,2
20040300,3
20040300,1
20040300,2
20040400,3
20040700,4
20040700,1
20040700,2
20040700,3
20041000,3
20041100,2
20041100,4
20041100,3
20041200,3
20041200,2
20041300,3
20041400,4
20041500,3
20041500,1
20041500,2
20041500,4
20041700,3
20041800,3
20041900,3
20042000,2
20042000,4
20042000,3
20042100,3
20042200,2
20042200,4
20042200,3
20042200,1
20042400,6
20042400,7
20042500,3
20042500,2
20042600,2
20042700,2
20042800,2
20042800,1
20042800,3
20042800,4
20043300,3
20043700,3
20043700,2
20043800,3
20043900,2
20044000,3
20044000,2
20044000,1
20044100,3
20044200,2
20044400,2
20044401,2
20044402,2
20044600,3
20044600,2
20044700,3
20045100,7
20045100,6
20045500,2
20045500,3
20045600,3
20045600,2
20045700,3
20045700,2
20045800,7
20045800,6
20046000,4
20046100,3
20046200,3
20046300,3
20046400,3
20046400,2
20046400,1
20046700,1
20046700,2
20046702,2
20046703,2
20046703,1
20046900,4
20046900,5
20047000,3
20047200,3
20047300,3
20047400,3
20047600,3
20047700,2
20047800,4
20047800,5
20047900,4
20047900,3
20047900,2
20048100,3
20048300,4
20048400,3
20048500,3
20048600,1
20048600,4
20048600,2
20048600,3
20048700,4
20048900,3
20049000,3
20049100,3
20049200,2
20049300,1
20049300,4
20049300,2
20049300,3
20049400,4
20049500,3
20049600,3
20049600,2
20049600,4
20049700,3
20049900,5
20049900,4
20050000,4
20050200,4
20050200,3
20050200,2
20050300,1
20050300,4
20050300,2
20050300,3
20050400,3
20050600,4
20050600,5
20050800,3
20050800,2
20050800,4
20050900,4
20050900,5
20051100,4
20051100,1
20051100,3
20051100,2
20051200,3
20051200,4
20051200,2
20051200,1
20051300,3
20051300,4
20051300,2
20051300,1
20051400,3
20051600,3
20051800,3
20051900,3
20052000,3
20052100,4
20052100,1
20052100,3
20052100,2
20052300,3
20052400,3
20052500,1
20052500,2
20052500,3
20052600,6
20052700,4
20052700,3
20052800,3
20053000,3
20053100,6
20053100,7
20053200,3
20053200,2
20053200,1
20053300,3
20053400,3
20053400,1
20053400,2
20053400,4
20053500,3
20053500,2
20053500,4
20053600,3
20053600,6
20053600,4
20053601,6
20053602,2
20053900,6
20053900,7
20054000,3
20054100,3
20054100,2
20054100,4
20054200,1
20054200,2
20054300,4
20054400,3
20054500,2
20054500,1
20054500,3
20054600,3
20055400,2
20055401,2
20055402,2
20055403,2
20055404,2
20055500,4
20055600,3
20055700,3
20055800,3
20055900,1
20055900,2
20056000,4
20056000,3
20056000,2
20056100,1
20056100,4
20056100,2
20056100,3
20056200,3
20056200,2
20056200,4
20056300,4
20056400,6
20056400,7
20056500,2
20056500,3
20056500,4
20056600,3
20056700,3
20056800,4
20056800,5
20057000,3
20057100,4
20057100,3
20057100,2
20057200,2
20057200,3
20057200,4
20057500,1
20057500,3
20057500,2
20057800,3
20057900,2
20057900,4
20057900,3
20057900,1
20058000,2
20058001,2
20058100,3
20058200,3
20058300,4
20058300,5
20058400,4
20058400,3
20058400,6
20058401,6
20058500,3
20058500,1
20058500,2
20058800,2
20058800,4
20058800,3
20058800,1
20058900,3
20059200,3
20059300,3
20059400,3
20059400,1
20059400,2
20059400,4
20059500,2
20059600,3
20059800,3
20059900,3
20060000,3
20060000,2
20060000,4
20060100,3
20060200,4
20060300,7
20060300,6
20060500,3
20060500,2
20060500,1
20060500,4
20060600,2
20060700,3
20061100,4
20061200,4
20061200,5
20061300,3
20061300,1
20061300,2
20061300,4
20061400,1
20061400,2
20061400,3
20061500,3
20061600,3
20061600,2
20061600,1
20061600,4
20061700,2
20061701,2
20061703,2
20061704,2
20061800,3
20061900,3
20062000,2
20062000,3
20062000,4
20062100,2
20062200,5
20062200,4
20062300,4
20062400,3
20062400,4
20062400,2
20062400,1
20062800,4
20062900,3
20063000,2
20063000,1
20063100,3
20063200,3
20063200,2
20063300,2
20063300,4
20063300,3
20063500,3
20063700,4
20063800,3
20063900,1
20063900,2
20064100,4
20064100,2
20064100,3
