Provincia,Departamento,Cantidad EE,Cantidad CC,Población Total
Ciudad Autónoma de Buenos Aires,Ciudad Autonoma De Buenos Aires,1782,296,3095454.0
Córdoba,Capital,1136,30,1498060.0
Buenos Aires,La Matanza,977,2,1837168.0
Santa Fe,Rosario,817,36,1337958.0
Buenos Aires,La Plata,669,72,756074.0
Buenos Aires,Lomas De Zamora,548,17,685644.0
Buenos Aires,General Pueyrredon,535,10,660569.0
Buenos Aires,Quilmes,464,10,631774.0
Santa Fe,La Capital,463,17,568259.0
Chaco,San Fernando,458,13,413764.0
Entre Ríos,Parana,439,9,388716.0
Buenos Aires,Almirante Brown,417,13,583209.0
Tucumán,Capital,400,10,587289.0
Río Negro,General Roca,383,8,379627.0
Buenos Aires,Moreno,369,0,575758.0
Buenos Aires,Lanus,362,2,460081.0
Chaco,General Guemes,361,0,68429.0
Córdoba,San Justo,358,2,228951.0
Buenos Aires,Merlo,357,6,581484.0
Neuquén,Confluencia,346,12,467217.0
Buenos Aires,Tigre,339,3,446291.0
Córdoba,Rio Cuarto,338,5,277979.0
Formosa,Patino,313,0,81600.0
Misiones,Capital,308,5,391498.0
Buenos Aires,Pilar,306,2,393614.0
Buenos Aires,Avellaneda,301,66,366117.0
Buenos Aires,General San Martin,298,10,444503.0
Salta,Capital,297,7,624003.0
Buenos Aires,Florencio Varela,295,0,488103.0
Buenos Aires,Berazategui,288,2,358328.0
Buenos Aires,Bahia Blanca,287,11,334505.0
Buenos Aires,Moron,287,6,329517.0
Santiago del Estero,Capital,282,4,328824.0
Buenos Aires,San Isidro,276,6,295978.0
Buenos Aires,Tres De Febrero,275,10,362319.0
Corrientes,Capital,271,5,437446.0
Buenos Aires,San Miguel,269,1,327650.0
Santa Fe,General Obligado,266,4,197533.0
Córdoba,Colon,259,12,294511.0
Misiones,Obera,259,2,120703.0
Buenos Aires,Vicente Lopez,252,9,280541.0
Mendoza,San Rafael,252,2,213204.0
Jujuy,Dr. Manuel Belgrano,249,12,319469.0
Santa Fe,Castellanos,246,7,189464.0
Formosa,Formosa,246,4,268572.0
Misiones,Guarani,241,0,77075.0
Santa Fe,General Lopez,239,3,200455.0
Formosa,Pirane,234,1,72560.0
Buenos Aires,Malvinas Argentinas,227,1,349401.0
Buenos Aires,Escobar,218,4,256071.0
Santiago del Estero,Banda,217,2,170401.0
Buenos Aires,Esteban Echeverria,208,1,337880.0
Córdoba,Union,202,1,113635.0
Córdoba,Punilla,201,9,219494.0
Santa Fe,Las Colonias,200,6,114730.0
Mendoza,Guaymallen,200,5,320871.0
Misiones,Cainguas,194,0,59875.0
La Rioja,Capital,185,3,210507.0
Chubut,Escalante,184,5,214829.0
Entre Ríos,Concordia,184,2,197603.0
Santa Fe,San Cristobal,182,1,72593.0
Buenos Aires,Olavarria,180,4,122011.0
Entre Ríos,Gualeguaychu,180,2,125176.0
Mendoza,Capital,179,6,123715.0
Córdoba,General San Martin,175,0,152397.0
Buenos Aires,Tandil,174,7,144678.0
Buenos Aires,Jose C. Paz,174,2,326527.0
Misiones,General Manuel Belgrano,174,0,45456.0
Formosa,Pilcomayo,172,0,94116.0
San Juan,Capital,168,7,114849.0
Buenos Aires,San Fernando,168,2,171099.0
Buenos Aires,San Nicolas,167,1,166657.0
Córdoba,Marcos Juarez,165,2,107286.0
Chaco,Libertador General San Martin,164,0,65304.0
Misiones,San Ignacio,164,0,63194.0
Río Negro,Bariloche,163,7,161443.0
Córdoba,Santa Maria,162,5,139012.0
Córdoba,Rio Segundo,161,1,113311.0
Córdoba,Tercero Arriba,161,1,120207.0
Corrientes,Goya,161,0,106223.0
Chubut,Rawson,159,3,144420.0
Entre Ríos,Uruguay,158,3,115516.0
Tucumán,Cruz Alta,158,1,227688.0
Buenos Aires,Pergamino,155,2,114988.0
Salta,General Jose De San Martin,155,1,177448.0
Misiones,Iguazu,150,2,99838.0
Mendoza,Godoy Cruz,149,3,194557.0
Chaco,Comandante Fernandez,149,1,101086.0
Buenos Aires,Lujan,147,0,110111.0
Córdoba,Cruz Del Eje,145,1,64748.0
Buenos Aires,Ezeiza,144,0,198620.0
Buenos Aires,Hurlingham,143,1,185361.0
Mendoza,Maipu,143,1,218887.0
Buenos Aires,Ituzaingo,141,3,177983.0
Mendoza,Las Heras,141,1,233839.0
Santa Fe,Vera,141,1,55463.0
Entre Ríos,La Paz,141,0,75271.0
Misiones,Eldorado,138,4,91133.0
Córdoba,Rio Primero,136,0,58181.0
La Pampa,Capital,135,5,118504.0
Entre Ríos,Villaguay,135,2,55284.0
Santa Fe,San Lorenzo,133,3,193786.0
Catamarca,Capital,132,8,186466.0
Buenos Aires,Necochea,132,1,101483.0
Misiones,Leandro N. Alem,132,0,49391.0
Buenos Aires,Zarate,131,1,131415.0
Misiones,25 De Mayo,130,1,30877.0
Buenos Aires,Junin,129,2,100964.0
Buenos Aires,Campana,129,1,107976.0
Catamarca,Belen,129,0,30353.0
Mendoza,San Martin,129,0,139406.0
Misiones,San Pedro,127,1,34690.0
Córdoba,Calamuchita,127,0,75462.0
Santiago del Estero,Rio Hondo,126,1,66637.0
Buenos Aires,Azul,126,0,75152.0
Entre Ríos,Nogoya,126,0,42954.0
Santa Fe,San Jeronimo,126,0,84617.0
Formosa,Bermejo,125,0,15600.0
Salta,Rivadavia,124,0,38062.0
Salta,Oran,119,1,159715.0
San Luis,General Pedernera,116,2,148671.0
Santa Cruz,Guer Aike,114,4,137309.0
Córdoba,San Javier,114,3,62700.0
Entre Ríos,Federacion,113,1,78264.0
Buenos Aires,Mercedes,112,4,71002.0
Santiago del Estero,Pellegrini,111,0,26193.0
Buenos Aires,Chivilcoy,110,1,70554.0
Formosa,Ramon Lista,109,0,17678.0
Mendoza,Lujan De Cuyo,108,3,171883.0
San Juan,Rawson,108,0,136582.0
Santa Cruz,Deseado,107,5,126266.0
Córdoba,Juarez Celman,107,1,68317.0
Córdoba,San Alberto,105,0,42029.0
Santa Fe,Iriondo,105,0,73636.0
Santiago del Estero,Copo,105,0,35653.0
Buenos Aires,Trenque Lauquen,104,1,49128.0
Buenos Aires,General Rodriguez,104,0,142315.0
Santiago del Estero,Figueroa,104,0,20246.0
Buenos Aires,25 De Mayo,103,0,35411.0
Santiago del Estero,Moreno,103,0,40352.0
Tucumán,Leales,103,0,66352.0
Santa Fe,9 De Julio,102,0,30942.0
Buenos Aires,San Pedro,101,1,68353.0
Tucumán,Tafi Viejo,101,1,172877.0
Buenos Aires,Tres Arroyos,100,0,61889.0
Corrientes,Esquina,99,0,39168.0
Río Negro,Adolfo Alsina,98,2,63845.0
Catamarca,La Paz,98,0,26341.0
Jujuy,San Pedro,97,2,88237.0
Santa Fe,San Martin,97,2,67299.0
Buenos Aires,Canuelas,97,1,70542.0
Chaco,Almirante Brown,97,0,37794.0
Entre Ríos,Diamante,97,0,52312.0
Buenos Aires,Lincoln,93,1,45191.0
Buenos Aires,9 De Julio,92,1,52366.0
Buenos Aires,Chacabuco,92,1,52409.0
Santa Fe,Caseros,91,1,86261.0
Santa Fe,Constitucion,90,2,93000.0
Jujuy,El Carmen,90,0,122259.0
Chaco,Mayor Luis J. Fontana,89,1,59798.0
Entre Ríos,Victoria,89,0,40301.0
Mendoza,Lavalle,89,0,47086.0
Buenos Aires,Balcarce,88,2,48516.0
Buenos Aires,Coronel Suarez,88,1,41713.0
Catamarca,Santa Maria,88,0,26822.0
Catamarca,Tinogasta,88,0,25254.0
Santiago del Estero,Choya,88,0,43692.0
Corrientes,Santo Tome,87,0,71922.0
Salta,Anta,87,0,69442.0
Tucumán,Burruyacu,87,0,45459.0
Entre Ríos,Colon,86,2,74890.0
Santa Fe,San Justo,86,1,46486.0
Chaco,Quitilipi,86,0,32430.0
Entre Ríos,Gualeguay,86,0,56796.0
Buenos Aires,Bolivar,85,0,37194.0
Buenos Aires,Pehuajo,85,0,44594.0
Santiago del Estero,Loreto,85,0,24047.0
Corrientes,Curuzu Cuatia,84,0,51489.0
Buenos Aires,Chascomus,83,0,42191.0
Mendoza,General Alvear,83,0,52379.0
Santiago del Estero,Alberdi,83,0,20104.0
Santiago del Estero,Avellaneda,83,0,25462.0
San Juan,Rivadavia,82,1,101334.0
Formosa,Pilagas,82,0,19089.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Rio Grande,81,5,98922.0
Buenos Aires,Lobos,81,2,41418.0
Buenos Aires,San Vicente,80,3,97929.0
Buenos Aires,General Villegas,80,0,35055.0
Chaco,Maipu,80,0,26354.0
Santiago del Estero,Robles,80,0,53879.0
Chubut,Biedma,79,3,102806.0
Buenos Aires,Berisso,79,1,100685.0
Entre Ríos,Federal,79,1,29436.0
Tucumán,Chicligasta,79,0,92308.0
Buenos Aires,Saladillo,78,0,35423.0
Corrientes,Lavalle,78,0,40406.0
Buenos Aires,Baradero,77,0,39223.0
Corrientes,Bella Vista,77,0,44369.0
Santiago del Estero,General Taboada,77,0,46304.0
San Juan,Jachal,76,0,25269.0
Chubut,Futaleufu,75,1,49965.0
Jujuy,Ledesma,75,0,94132.0
Misiones,Apostoles,75,0,50503.0
Buenos Aires,Villarino,74,3,32552.0
Buenos Aires,San Andres De Giles,74,2,26399.0
Buenos Aires,Coronel De Marina Leonardo Rosales,74,0,65823.0
Santiago del Estero,Jimenez,74,0,18622.0
Tucumán,Simoca,74,0,36946.0
San Luis,Ayacucho,73,1,23653.0
Buenos Aires,La Costa,73,0,100400.0
Córdoba,Ischilin,72,1,36023.0
Mendoza,San Carlos,71,0,39752.0
Santiago del Estero,Juan Felipe Ibarra,71,0,20567.0
Córdoba,General Roca,70,1,36064.0
Buenos Aires,Patagones,70,0,37499.0
Tucumán,Monteros,70,0,77469.0
Buenos Aires,Ayacucho,69,0,21757.0
Córdoba,Presidente Roque Saenz Pena,69,0,37551.0
Catamarca,Capayan,68,0,19471.0
Entre Ríos,Tala,68,0,31091.0
Misiones,Montecarlo,68,0,38620.0
Corrientes,Mercedes,67,0,49807.0
San Juan,Pocito,67,0,72879.0
Tucumán,Yerba Buena,66,3,102589.0
San Juan,Chimbas,66,1,103772.0
Corrientes,General Paz,66,0,17016.0
Corrientes,Monte Caseros,66,0,45602.0
La Rioja,Chilecito,66,0,58681.0
Mendoza,Tunuyan,66,0,59972.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Ushuaia,65,6,80009.0
Tucumán,Lules,65,2,93464.0
La Pampa,Maraco,65,1,69067.0
Buenos Aires,Las Flores,65,0,27136.0
Mendoza,Rivadavia,65,0,63589.0
Buenos Aires,Marcos Paz,64,0,64761.0
Corrientes,Ituzaingo,64,0,38767.0
Santa Fe,San Javier,64,0,33180.0
Chubut,Cushamen,63,1,28099.0
Chaco,25 De Mayo,63,0,32606.0
Chaco,9 De Julio,63,0,30223.0
Chaco,Bermejo,63,0,28060.0
Formosa,Laishi,63,0,19275.0
Mendoza,Junin,63,0,46472.0
Buenos Aires,General Alvarado,62,0,45307.0
Chaco,Chacabuco,62,0,34493.0
Corrientes,Concepcion,62,0,26270.0
Corrientes,Paso De Los Libres,62,0,56778.0
San Juan,Caucete,62,0,44017.0
Santiago del Estero,Salavina,62,0,12775.0
Córdoba,Rio Seco,61,1,15275.0
Jujuy,Humahuaca,61,1,20877.0
Buenos Aires,Loberia,61,0,18106.0
Córdoba,Tulumba,61,0,14092.0
Chaco,O'Higgins,60,1,21544.0
Buenos Aires,Brandsen,60,0,32350.0
Buenos Aires,Navarro,60,0,19888.0
Buenos Aires,Presidente Peron,60,0,101994.0
Misiones,San Javier,60,0,23080.0
Santiago del Estero,Ojo De Agua,60,0,15008.0
Buenos Aires,Magdalena,59,0,22653.0
