Provincia,Departamento,Jardines,Población Jardin,Primarias,Población Primaria,Secundarios,Población Secundaria
Buenos Aires,La Matanza,53.0,87162.0,325.0,225872.0,333.0,181212.0
Buenos Aires,La Plata,59.0,29260.0,215.0,77998.0,199.0,67326.0
Buenos Aires,General Pueyrredon,52.0,23100.0,177.0,62565.0,169.0,57730.0
Buenos Aires,Lomas De Zamora,41.0,28806.0,160.0,76967.0,178.0,65257.0
Buenos Aires,Quilmes,43.0,26975.0,160.0,70881.0,146.0,60085.0
Buenos Aires,Almirante Brown,24.0,25188.0,132.0,67913.0,137.0,58227.0
Buenos Aires,Tigre,29.0,18454.0,121.0,51961.0,111.0,45401.0
Buenos Aires,Moreno,9.0,28521.0,118.0,76357.0,134.0,60359.0
Buenos Aires,Lanus,28.0,16028.0,118.0,44506.0,116.0,39855.0
Buenos Aires,Avellaneda,34.0,13168.0,118.0,37082.0,93.0,32476.0
Buenos Aires,Merlo,4.0,27105.0,110.0,71541.0,120.0,59718.0
Buenos Aires,Pilar,27.0,18864.0,105.0,49944.0,109.0,41528.0
Buenos Aires,Tres De Febrero,36.0,12280.0,104.0,33616.0,87.0,30170.0
Buenos Aires,Berazategui,20.0,14843.0,100.0,41462.0,92.0,35467.0
Buenos Aires,General San Martin,29.0,15897.0,99.0,44539.0,96.0,39634.0
Buenos Aires,Florencio Varela,5.0,24703.0,97.0,64455.0,98.0,52426.0
Buenos Aires,Moron,55.0,10346.0,95.0,28780.0,90.0,26584.0
Buenos Aires,Bahia Blanca,31.0,12522.0,93.0,33944.0,94.0,28746.0
Buenos Aires,San Isidro,50.0,9488.0,92.0,26323.0,90.0,25052.0
Buenos Aires,San Miguel,17.0,13979.0,85.0,37035.0,92.0,30653.0
Buenos Aires,Vicente Lopez,66.0,8348.0,84.0,22610.0,76.0,21312.0
Buenos Aires,Malvinas Argentinas,7.0,14565.0,78.0,40319.0,81.0,34959.0
Buenos Aires,Escobar,12.0,12294.0,76.0,31983.0,75.0,25714.0
Buenos Aires,Esteban Echeverria,9.0,15490.0,71.0,41112.0,71.0,34241.0
Buenos Aires,San Fernando,23.0,6594.0,64.0,17900.0,55.0,15461.0
Buenos Aires,Tandil,31.0,5517.0,58.0,14723.0,60.0,12884.0
Buenos Aires,Olavarria,28.0,4840.0,58.0,13055.0,73.0,11526.0
Buenos Aires,Jose C. Paz,2.0,16399.0,55.0,42316.0,62.0,34014.0
Buenos Aires,Lujan,17.0,4701.0,52.0,12341.0,49.0,10388.0
Buenos Aires,Ezeiza,12.0,9825.0,51.0,25615.0,44.0,21089.0
Buenos Aires,Ituzaingo,13.0,6232.0,50.0,17692.0,45.0,16004.0
Buenos Aires,Pergamino,27.0,4820.0,50.0,12264.0,56.0,10389.0
Buenos Aires,San Nicolas,17.0,6938.0,49.0,17845.0,56.0,15225.0
Buenos Aires,Hurlingham,15.0,6675.0,45.0,18866.0,46.0,16751.0
Buenos Aires,Junin,19.0,4127.0,42.0,10433.0,46.0,8728.0
Buenos Aires,Zarate,15.0,5546.0,42.0,15431.0,45.0,13300.0
Buenos Aires,Trenque Lauquen,16.0,2171.0,41.0,5326.0,46.0,4442.0
Buenos Aires,Campana,23.0,4628.0,40.0,12587.0,42.0,10846.0
Buenos Aires,Necochea,24.0,3905.0,38.0,10545.0,51.0,9347.0
Buenos Aires,General Rodriguez,10.0,7808.0,36.0,20970.0,33.0,15698.0
Buenos Aires,Azul,21.0,3086.0,36.0,8219.0,55.0,7066.0
Buenos Aires,Mercedes,11.0,3084.0,35.0,7882.0,41.0,6753.0
Buenos Aires,25 De Mayo,28.0,1498.0,35.0,3733.0,47.0,3238.0
Buenos Aires,Tres Arroyos,17.0,2432.0,35.0,6392.0,43.0,5392.0
Buenos Aires,9 De Julio,15.0,2262.0,34.0,5830.0,38.0,4999.0
Buenos Aires,Chivilcoy,23.0,2733.0,33.0,7181.0,50.0,6479.0
Buenos Aires,Coronel Suarez,22.0,1573.0,32.0,4418.0,34.0,3537.0
Buenos Aires,Chacabuco,12.0,1940.0,32.0,5344.0,37.0,4811.0
Buenos Aires,Lincoln,22.0,1843.0,31.0,4674.0,41.0,4080.0
Buenos Aires,Balcarce,16.0,1973.0,31.0,5070.0,38.0,4268.0
Buenos Aires,San Pedro,11.0,3165.0,30.0,8283.0,42.0,7113.0
Buenos Aires,General Villegas,9.0,1510.0,30.0,4006.0,32.0,3428.0
Buenos Aires,Bolivar,17.0,1590.0,30.0,3857.0,37.0,3206.0
Buenos Aires,Canuelas,5.0,3575.0,29.0,9538.0,38.0,7497.0
Buenos Aires,Baradero,11.0,1697.0,28.0,4372.0,27.0,3818.0
Buenos Aires,Lobos,21.0,1853.0,28.0,4668.0,35.0,4035.0
Buenos Aires,San Vicente,3.0,5505.0,28.0,14032.0,30.0,10952.0
Buenos Aires,Pehuajo,8.0,1886.0,28.0,4827.0,34.0,4284.0
Buenos Aires,La Costa,7.0,4245.0,27.0,11364.0,25.0,10072.0
Buenos Aires,San Andres De Giles,18.0,1236.0,26.0,3031.0,29.0,2583.0
Buenos Aires,Saladillo,12.0,1476.0,25.0,3785.0,37.0,3339.0
Buenos Aires,Berisso,1.0,4327.0,25.0,11779.0,28.0,9722.0
Buenos Aires,Coronel De Marina Leonardo Rosales,4.0,2684.0,24.0,7353.0,27.0,6424.0
Buenos Aires,Chascomus,10.0,1873.0,23.0,4976.0,38.0,4223.0
Buenos Aires,Presidente Peron,0.0,5563.0,22.0,14476.0,19.0,11730.0
Buenos Aires,Patagones,13.0,1630.0,22.0,4262.0,30.0,3335.0
Buenos Aires,Villarino,17.0,1415.0,21.0,3677.0,35.0,3288.0
Buenos Aires,Marcos Paz,8.0,3460.0,21.0,8477.0,24.0,7148.0
Buenos Aires,Salto,10.0,1728.0,20.0,4405.0,20.0,3794.0
Buenos Aires,Ayacucho,6.0,985.0,20.0,2442.0,36.0,2150.0
